"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
".1","1","DFRobot RP2350 Module","","","","rp2350_footprint:DFR1188-DIP",""
"C2","1","1.0uF","","","","",""
"C3,C10","2","10uF","","","","","~"
"C4","1","0.47uF","","","","",""
"C5,C6","2","22uF","","","","",""
"C7,C8,C9","3","10nF","","","","","~"
"C11","1","1uF","","","","","~"
"C12","1","220 uF","","","","",""
"C14","1","0.1uF","","","","",""
"D1","1","1N4001","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"D3","1","1N914","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"J1","1","Battery Connection","","","","","~"
"J2,J6","2","Servo Connection","","","","","~"
"J3","1","DC Motor Connection","","","","","~"
"J4","1","Washout Ultrasonic Sensor Connection","","","","","~"
"J5","1","Water Sensor Connection","","","","","~"
"J7","1","Larvicide Level Ultrasonic Sensor Connection","","","","","~"
"L1","1","1uH","","","","","~"
"Q1","1","FS8205A","","","","Fs8205a:SOT-23-6L_TCP","FS8205A"
"Q2,Q3,Q4,Q5,Q7","5","NMOS","","","","","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_MOSFETs"
"R1","1","100","","","","","~"
"R2","1","1000","","","","","~"
"R3,R4,R5","3","5100","","","","","~"
"R6,R10,R11,R22,R23,R24,R30","7","10k","","","","","~"
"R7","1","0.01 / 1%","","","","","~"
"R8","1","732k","","","","","~"
"R9,R13,R16,R17,R18,R19","6","100k","","","","","~"
"R12,R21,R26,R27","4","1k","","","","","~"
"R14","1","200k","","","","","~"
"R15","1","470k","","","","","~"
"R20","1","20k","","","","","~"
"R28,R29","2","2k","","","","","~"
"U1","1","BQ27441DRZR-G1A","","","","Package_SON:Texas_S-PDSO-N12","http://www.ti.com/lit/ds/symlink/bq27441-g1.pdf"
"U2","1","DW01A","","","","Package_TO_SOT_SMD:SOT-23-6","https://hmsemi.com/downfile/DW01A.PDF"
"U3","1","TPS61023DRLR","","","","TPS61023:DRL0006A","https://www.ti.com/lit/gpn/tps61023"
"U4","1","LM311","","","","LM311:D8","https://www.st.com/resource/en/datasheet/lm311.pdf"
"U5,U6","2","LMC555CMMX_NOPB","","","","LMC555CMMX_NOPB:SOP65P490X110-8N",""
